year,index
1960,12.36902582086692
1961,12.562810967482474
1962,12.76460808839343
1963,13.145454017120125
1964,13.523123855044641
1965,13.950069251200647
1966,14.332952576365171
1967,14.650324046634648
1968,14.941629731274093
1969,15.568045607353328
1970,16.451190262760836
1971,17.43441848668375
1972,19.069311026594203
1973,21.917098589393934
1974,24.854255022857842
1975,27.517045203112012
1976,28.439278087419307
1977,30.912302280975645
1978,35.13396615552269
1979,39.00656321743458
1980,43.17151084824839
1981,43.793272794599716
1982,43.18281797789551
1983,42.95028711304919
1984,42.62600558465889
1985,43.04902003856604
1986,49.1678070504327
1987,53.94351733064246
1988,57.651384236456806
1989,58.05695167080332
1990,63.50297534544458
1991,65.48395089311371
1992,68.5406665526361
1993,68.42102730374677
1994,71.26287325403366
1995,77.05343020594833
1996,76.09617082448767
1997,72.95750517938527
1998,70.80911122093372
1999,70.60619313809006
2000,69.82994965744906
2001,68.01673113441596
2002,69.02940857777038
2003,75.07824458847574
2004,80.97603786700898
2005,84.29039283955439
2006,87.44815776939893
2007,94.41796307484137
2008,101.65269528699376
2009,97.68268800617317
2010,102.37065767143314
2011,110.17586854771571
2012,109.66101986767256
2013,109.67830283299249
2014,109.2958561815475
2015,100.0
2016,98.8473072605747
2017,101.77426875474247
2018,104.79375279858125
2019,103.55397700186417
2020,103.72911311723725
2021,111.33621647940429
2022,112.17299914220611
2023,113.75731988700568
2024,115.05185990888262
